cell_name,cellbodywidth_px,cellbodyheight_px,cellbodyradius_um,tz_px,tx_px,ty_px,cluster_id,length_px,length_um,efflen_um,trial,time,image name,manual
A,122.125,113.5,12.485,-6.160000002,-11.5225,-25.71250001,0,131.0988415,28.84174514,16.35674514,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,-3.520000001,-21.6425,13.4475,1,116.9183743,25.72204235,13.23704235,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,-0.44,8.094166667,-15.9225,2,81.21432978,17.86715255,5.38215255,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,-0.44,-2.8325,14.2175,3,65.92538396,14.50358447,2.01858447,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,1.948571429,-27.62964286,-19.69392858,4,154.4815989,33.98595177,21.50095177,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,1.76,24.2275,-10.9725,5,121.157052,26.65455144,14.16955144,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,6.502222221,3.254166666,14.16861111,6,72.38813475,15.92538964,3.44038964,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,15.18000001,-12.34750001,-14.49250001,7,110.682118,24.35006597,11.86506597,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,16.27999999,-3.844499998,17.95749999,8,111.552751,24.54160521,12.05660521,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,122.125,113.5,12.485,16.28000001,16.38083334,5.270833336,9,107.6756478,23.68864253,11.20364253,20240502,0,20240502 group1_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-10.12,0.377361111,-17.37541666,0,91.41471952,20.11123829,7.97457162,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-10.12,-23.47888888,26.69333332,2,168.01015,36.96223299,24.82556632,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-9.240000003,-4.39388889,11.67833334,3,70.57428666,15.52634307,3.3896764,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-8.800000001,-15.27288889,29.37733333,5,155.7260288,34.25972634,22.12305967,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-9.240000001,7.541111113,6.013333334,6,60.7130724,13.35687593,1.22020926,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-8.359999997,30.5861111,-6.251666665,7,146.9021101,32.31846421,20.18179754,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-4.400000001,-4.118888889,-33.91666668,8,156.5818722,34.44801189,22.31134522,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-2.64,32.60539683,11.51333333,9,157.6321659,34.6790765,22.54240983,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,-2.053333333,-33.68444444,9.386666666,10,159.2186167,35.02809567,22.891429,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,4.106666667,-12.22222222,35.00444444,11,169.5618173,37.3035998,25.16693313,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,7.920000001,-18.66088889,2.185333333,12,92.67945022,20.38947905,8.25281238,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,8.799999999,27.29396826,-27.17523809,13,179.5825203,39.50815446,27.37148779,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,14.96,-19.40888888,-22.49238094,14,151.194539,33.26279857,21.1261319,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,15.84,22.36361112,18.41583333,15,150.081219,33.01786818,20.88120151,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,16.72,8.366111113,-28.63666668,16,155.4524782,34.19954521,22.06287854,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,18.98285714,1.082539683,22.01047618,17,132.2080301,29.08576662,16.94909995,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,117.1111111,110.3333333,12.13666667,22.44,23.71111111,-5.133333332,18,150.2148256,33.04726163,20.91059496,20240502,0.25,20240502 group_6hr_fed_1-10_c0,TRUE
A,107.8571429,113.8571429,11.86428571,-4.400000002,8.642857147,-13.15285715,1,74.28121552,16.34186742,4.47758171,20240502,3,20240505 Gr1_Pl1_d3_1-10_c1,TRUE
A,107.8571429,113.8571429,11.86428571,1.232,-20.13314286,3.809142857,3,93.30599648,20.52731923,8.66303352,20240502,3,20240505 Gr1_Pl1_d3_1-10_c1,TRUE
A,107.8571429,113.8571429,11.86428571,1.760000001,14.01085715,20.26514286,4,112.2715985,24.69975168,12.83546597,20240502,3,20240505 Gr1_Pl1_d3_1-10_c1,TRUE
